,Name,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Genus,Species,Population size,Life span,Top speed,Weight,Height,Length,Introduced countries,Seas,Islands,Biome,Climate,Seasonal behavior,Predators,Bird's call,Mating behavior,Reproduction season,Pregnancy duration,Baby carrying,Independent age,Female name,Male name,Baby name,Incubation period,Population trend,Population status
761,Indian hare,Animalia,Chordata,Vertebrata,Mammalia,Lagomorpha,,Leporidae,Lepus,Lepus nigricollis,,,,1.35-7 kg,,40-70 cm,"Seychelles, Mauritius, Réunion",,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Rainforest', 'Grassland', 'Shrubland', 'Wetlands ']",['Tropical'],Not a migrant,,,"Polygyny,",,42 to 44 days,1 to 4,,,,,,Unknown,Least concern (LC)
762,Philippine long-tailed macaque,Long-Tailed Macaque,,Animalia,Chordata,Vertebrata,Mammalia,Haplorhini,Simiiformes,Cercopithecidae,,,,Macaca,,Macaca fascicularis philippensis,,,,"['Agricultural', 'Anthropogenic biome', 'Brackish water', 'Coastal', 'Forest', 'Rainforest', 'Riparian', 'Shrubland', 'Swamp', 'Wetlands ']",['Tropical'],,,,"Polygynandry,",,162 days,1,,,,,,Decreasing,Near Threatened (NT)
763,Desmarest's hutia,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Capromyidae,Capromys,Capromys pilorides,,,,1.000-9.000 kg,,,,,,"['Coastal', 'Forest', 'Mountains', 'Shrubland']",[],,,,,,119 to 130 days,1 to 3,,,,,,Stable,Least concern (LC)
764,Mexican prairie dog,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Cynomys,Cynomys mexicanus,,,,300-2000 g,,385-440 mm,,,,['Grassland'],['Tropical'],,,,"Polygyny,",,30 days,1 to 6,5 to 6 weeks,,,,,Decreasing,Endangered (EN)
765,European Ground Squirrel,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Spermophilus,Spermophilus citellus,Unknown,8-10 yrs,,300 g,,20 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Grassland', 'Suburban', 'Urban wildlife']",['Temperate'],"Not a migrant, Hibernating",,,,April-May,26 days,5-8 pups,,doe,buck,"pup, kit, kitten",,Decreasing,Vulnerable (VU)
766,Daubenton's bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Vespertilionidae,Myotis,Myotis daubentonii,,,,5-15 g,,40-60 mm,,,"Bulgaria, Croatia, Denmark, Estonia, Germany, Greece, Hungary, Ireland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Monaco, Montenegro, Netherlands, Norway, Poland, Romania, Serbia, Slovakia, Slovenia, Sweden, Switzerland, Belarus, Moldova, Russia, Ukraine, Kazakhstan, Turkey, Czech Republic, Macedonia","['Caves', 'Forest', 'Riparian', 'Anthropogenic biome', 'Suburban', 'Urban wildlife', 'Neritic zone', 'Rocky areas ', 'Shrubland', 'Wetlands ']",['Temperate'],"Hibernating, Migrating",,,"Polygynandry,",,53 to 55 days,1 to 2,,,,,,Stable,Least concern (LC)
767,Long-Beaked Common Dolphin,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Delphinidae,Delphinus,Delphinus capensis,Unknown,40 yrs,48 km/h,80-150 kg,,1.9-2.5 m,,,,"['Oceanic pelagic zone', 'Neritic zone', 'Marine']","['Tropical', 'Temperate']",,,,,spring-autumn,10-11 months,1 calf,14-19 months,cow,bull,calf,,,
768,Golden Bamboo Lemur,Animalia,Chordata,Vertebrata,Mammalia,Primates,Strepsirrhini,Lemuridae,Hapalemur,Hapalemur aureus,630,12-23 yrs,,1-1.7 kg,,28-45 cm,,,,"['Forest', 'Rainforest', 'Wetlands ']","['Tropical', 'Temperate']",Not a migrant,,,Monogamy,July-August,138 days,1 infant,3 years,,,infant,,Decreasing,Critically endangered (CR)
769,Belding's ground squirrel,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Urocitellus,Urocitellus beldingi,,,,290 g,,,,,,"['Mountains', 'Anthropogenic biome', 'Grassland', 'Shrubland']",[],,,,,,26 days,5.7,,,,,,Stable,Least concern (LC)
770,Blainville's Beaked Whale,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Ziphiidae,Mesoplodon,Mesoplodon densirostris,Unknown,27 yrs,,800-1000 kg,,4.4-4.6 m,,"Atlantic Ocean, Pacific Ocean",Mediterranean Sea,"['Oceanic pelagic zone', 'Marine']","['Tropical', 'Temperate']",Not a migrant,,,,,,1 calf,,cow,bull,calf,,,
771,Marsh Mongoose,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Herpestidae,Atilax,Atilax paludinosus,Unknown,17 yrs,,2.5-3 kg,,48-51.5 cm,,,,"['Lakes', 'Rivers', 'Estuaries', 'Forest', 'Rainforest', 'Grassland', 'Shrubland', 'Freshwater', 'Neritic zone', 'Wetlands ', 'Coastal', 'Anthropogenic biome']",['Tropical'],,,,,"dry season, rainy season",69-80 days,2-3 pups,2 months,,,"pup, mongopoe",,Decreasing,Least concern (LC)
772,Columbian Ground Squirrel,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Urocitellus,Urocitellus columbianus,Unknown,2-3 yrs,,340-812 g,,325-410 mm,,,,"['Grassland', 'Anthropogenic biome', 'Forest', 'Shrubland']","['Temperate', 'Cold']","Not a migrant, Hibernating",,,,early spring,24 days,2-7 pups,,doe,buck,"pup, kit, kitten",,Stable,Least concern (LC)
773,Banded linsang,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,,Prionodontidae,Prionodon,Prionodon linsang,,,,700 g,,,,,Borneo,"['Forest', 'Rainforest', 'Anthropogenic biome', 'Shrubland']",[],Not a migrant,,,,,,,,,,,,Decreasing,Least concern (LC)
774,Black-flanked rock-wallaby,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Macropodidae,Petrogale,Petrogale lateralis,,,,3.1-7 kg,,,,,,"['Grassland', 'Rocky areas ', 'Savanna', 'Shrubland']",[],Not a migrant,,,,,,,,,,,,Decreasing,Vulnerable (VU)
775,White-Beaked Dolphin,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Delphinidae,Lagenorhynchus,Lagenorhynchus albirostris,100 Thou,40 yrs,45 km/h,180-354 kg,,2.3-3 m,,,,"['Oceanic pelagic zone', 'Abyssal zone', 'Neritic zone', 'Marine']","['Temperate', 'Cold']","Not a migrant,",,,,May-September,11-12 months,1 calf,1 year,cow,bull,calf,,,
776,Collared Pika,Animalia,Chordata,Vertebrata,Mammalia,Lagomorpha,,Ochotonidae,Ochotona,Ochotona collaris,Unknown,6-7 yrs,,130-200 g,,18-20 cm,,,,"['Mountains', 'Rocky areas ']","['Cold', 'Polar']",Not a migrant,,,Monogamy,May-early June,30 days,2-6 kits,30 days,,,"kit, kitten",,,
777,White-Tailed Prairie Dog,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Cynomys,Cynomys leucurus,Unknown,4 yrs,,675-1700 g,,315-399 mm,,,,"['Grassland', 'Shrubland']","['Arid', 'Temperate']","Not a migrant, Hibernating",,,Polygynandry,late March-early April,30 days,2-8 pups,4-5 weeks,sow,boar,pup,,Decreasing,Least concern (LC)
778,Giant muntjac,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Ruminantia,Cervidae,Muntiacus,Muntiacus vuquangensis,,,,30-50 kg,,,,,,"['Forest', 'Mountains', 'Anthropogenic biome']",[],,,,"Polygyny,",,,1,,,,,,Decreasing,Critically endangered (CR)
779,Tonkin Snub-Nosed Monkey,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Cercopithecidae,Rhinopithecus,Rhinopithecus avunculus,250,20-29 yrs,,8-14 kg,,51-65 cm,,,,"['Forest', 'Rainforest']","['Temperate', 'Tropical']",Not a migrant,,,Polygyny,,200 days,1-2 infants,,female,male,infant,,Decreasing,Critically endangered (CR)
780,Southern African Hedgehog,Animalia,Chordata,Vertebrata,Mammalia,Eulipotyphla,,Erinaceidae,Atelerix,Atelerix frontalis,Unknown,3-7 yrs,6-7 km/h,150-555 g,,20 cm,,,,"['Forest', 'Grassland', 'Shrubland', 'Anthropogenic biome', 'Suburban', 'Urban wildlife', 'Savanna']",['Tropical'],"Not a migrant, Hibernating, Aestivation",,,Monogamy,summer,35 days,1-11 hoglets,6 weeks,sow,boar,"hoglet, piglet",,Stable,Least concern (LC)
781,Javan lutung,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Cercopithecidae,Trachypithecus,Trachypithecus auratus,,,,7 kg,,44-65 cm,,,,"['Coastal', 'Forest', 'Mountains', 'Rainforest', 'Swamp', 'Wetlands ']",['Tropical'],Not a migrant,,,"Cooperative breeder,",,,1,12 months,,,,,Decreasing,Vulnerable (VU)
782,Mountain Reedbuck,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Redunca,Redunca fulvorufula,"36,000",14 yrs,,30-32 kg,65-89 cm,100-136 cm,,,,"['Forest', 'Mountains', 'Grassland', 'Shrubland', 'Rocky areas ']",['Tropical'],Not a migrant,,,Polygyny,year-round,8 months,1 calf,,doe,buck,calf,,Decreasing,Endangered (EN)
783,Greater bulldog bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Noctilionidae,Noctilio,Noctilio leporinus,,,,60-78 g,,98-132 mm,,,"Anguilla, Aruba, Haiti, Martinique, Montserrat, Puerto Rico, Saint Martin, British Virgin Islands, U.S. Virgin Islands, French Guiana,","['Anthropogenic biome', 'Caves', 'Forest', 'Savanna', 'Shrubland']",[],,,,,,2 months,1 to 1,1 months,,,,,Unknown,Least concern (LC)
784,Sunda stink badger,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mephitidae,Mydaus,Mydaus javanensis,,,,1.4-3.6 kg,,370-510 mm,,,Borneo,"['Forest', 'Mountains', 'Anthropogenic biome', 'Grassland', 'Shrubland']",['Tropical'],,,,,,,,,,,,,Stable,Least concern (LC)
785,Bobak marmot,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Marmota,Marmota bobak,,,,7300 g,,490-575 mm,,,,['Grassland'],['Temperate'],Not a migrant,,,,,40 to 42 days,4 to 6,,,,,,Stable,Least concern (LC)
786,Buru babirusa,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Suidae,Babyrousa,Babyrousa babyrussa,,,,43-100 kg,,,,,,"['Forest', 'Rainforest', 'Freshwater', 'Wetlands ']",[],,,,,,153 days,1.3,,,,,,Decreasing,Vulnerable (VU)
787,Taruca,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Ruminantia,Cervidae,Hippocamelus,Hippocamelus antisensis,,,,45 kg,,,,,,"['Mountains', 'Grassland', 'Rocky areas ', 'Shrubland']",[],Migrating,,,,,255 days,1,,,,,,Decreasing,Vulnerable (VU)
788,Royal Antelope,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Neotragus,Neotragus pygmaeus,"62,000",6.8 yrs,,2.5-3 kg,25 cm,40-50 cm,,,,"['Anthropogenic biome', 'Forest']",['Tropical'],Not a migrant,,,Monogamy,,,1 calf,,doe,buck,calf,,Decreasing,Least concern (LC)
789,Formosan Rock Macaque,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Cercopithecidae,Macaca,Macaca cyclopis,Unknown,up to 30 yrs,,5-12 kg,,50-60 cm,,,,"['Forest', 'Grassland', 'Anthropogenic biome']",['Temperate'],Not a migrant,,,Polygyny,October-January,5.5 months,1 infant,2 years,female,male,infant,,Stable,Least concern (LC)
790,Round-Tailed Ground Squirrel,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Xerospermophilus,Xerospermophilus tereticaudus,Unknown,8.9 yrs,,110-170 g,,204-278 mm,,,,"['Chaparral', 'Anthropogenic biome']","['Arid', 'Temperate']","Aestivation, Not a migrant",,,Polygynandry,January-April,25-35 days,6-12 kittens,5 weeks,doe,buck,"pup, kit, kitten",,Stable,Least concern (LC)
791,East Caucasian tur,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Capra,Capra cylindricornis,,,,56-140 kg,,138-190 cm,,,,"['Forest', 'Mountains', 'Grassland', 'Rocky areas ', 'Shrubland']",['Temperate'],Altitudinal Migrant,,,"Polygynandry,",,5 to 5.33 months,1 to 2,18 months,,,,,Stable,Near Threatened (NT)
792,Garden dormouse,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Gliridae,Eliomys,Eliomys quercinus,,,,45-120 g,,190-310 mm,,,,"['Agricultural', 'Anthropogenic biome', 'Chaparral', 'Forest', 'Mountains', 'Suburban', 'Swamp', 'Wetlands ', 'Urban wildlife', 'Rocky areas ']",['Temperate'],"Hibernating, Not a migrant",,,,,22 to 28 days,2 to 8,,,,,,Decreasing,Near Threatened (NT)
793,Guadalupe fur seal,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Otariidae,Arctocephalus,Arctocephalus townsendi,,,,50-160 kg,,1.9 m,,,,"['Coastal', 'Marine', 'Intertidal zone', 'Neritic zone', 'Oceanic pelagic zone']","['Temperate', 'Tropical']",Not a migrant,,,"Polygyny,",,approximately 12 months,1,,,,,,Increasing,Least concern (LC)
794,Cactus mouse,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Cricetidae,Peromyscus,Peromyscus eremicus,,,,25 g,,80-90 mm,,,,"['Chaparral', 'Shrubland']",['Temperate'],,,,,,20 to 25 days,1 to 4,,,,,,Stable,Least concern (LC)
795,Mahogany Glider,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Petauridae,Petaurus,Petaurus gracilis,Unknown,5-6 yrs,,310-500 g,,23-28 cm,,,,['Forest'],['Tropical'],Not a migrant,,,Monogamy,April-October,,1-2 joeys,4-5 months,,,joey,,Decreasing,Endangered (EN)
796,Lesser grison,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,Galictis,Galictis cuja,,,,1-2.5 kg,,280-508 mm,,,,"['Chaparral', 'Forest', 'Mountains', 'Grassland', 'Shrubland', 'Anthropogenic biome', 'Savanna', 'Wetlands ']","['Temperate', 'Tropical']",Not a migrant,,,39 to 40 days,,2 to 4,,,,,,,Unknown,Least concern (LC)
797,Southern Three-Banded Armadillo,Animalia,Chordata,Vertebrata,Mammalia,Cingulata,,Chlamyphoridae,Tolypeutes,Tolypeutes matacus,Unknown,36 yrs,,1-1.6 kg,,22-27 cm,,,,"['Forest', 'Grassland', 'Shrubland', 'Savanna']","['Tropical', 'Temperate']",Not a migrant,,,,November-January,120 days,1 pup,72 days,"female, zed","male, lister",pup,,Decreasing,Near Threatened (NT)
798,Yellow-Backed Duiker,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Cephalophus,Cephalophus silvicultor,"160,000",10-22 yrs,,60-80 kg,70-80 cm,115-145 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Rainforest', 'Savanna', 'Shrubland']",['Tropical'],Not a migrant,,,,year-round,4-7 months,1-2 calves,,doe,buck,calf,,Decreasing,Near Threatened (NT)
799,Lumholtz's Tree-Kangaroo,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Macropodidae,Dendrolagus,Dendrolagus lumholtzi,10-30 Thou,15 yrs,,5.9-7.2 kg,,480-650 mm,,,,"['Forest', 'Rainforest', 'Anthropogenic biome']",['Tropical'],Not a migrant,,,Polygynandry,Year-round,42-48 days,1 joey,300-360 days,"jill, roo","jack, boomer",joey,,,
800,Brush-Tailed Phascogale,Animalia,Chordata,Vertebrata,Mammalia,Dasyuromorphia,,Dasyuridae,Phascogale,Phascogale tapoatafa,Unknown,1-3 yrs,,110-311 g,,16-27 cm,,,,"['Forest', 'Shrubland', 'Savanna']","['Tropical', 'Arid', 'Temperate']",Not a migrant,,,Polygyny,mid-May - July,30 days,3-8 joyes,5 months,,,"joey, pup",,Decreasing,Near Threatened (NT)
801,Boodie,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Potoroidae,Bettongia,Bettongia lesueur,,,,0.4-1.8 kg,,370-440 mm,,,,"['Forest', 'Grassland', 'Shrubland', 'Savanna']",['Temperate'],Not a migrant,,,"Polygyny,",,21 days,1 to 2,180 days,,,,,Increasing,Near Threatened (NT)
802,Egyptian weasel,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,Mustela,Mustela subpalmata,,,,190-425 g,,341-405 mm,,,,"['Agricultural', 'Anthropogenic biome', 'Suburban', 'Urban wildlife']",['Temperate'],,,,"Polygynandry,",,4-5 months,4 to 9,10 weeks,,,,,Increasing,Least concern (LC)
803,Molina's hog-nosed skunk,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mephitidae,Conepatus,Conepatus chinga,,,,2.3-4.5 kg,,460-900 mm,,,,"['Forest', 'Shrubland', 'Grassland', 'Savanna']",[],,,,"Polygynandry,",,2 months,2 to 5,,,,,,Decreasing,Least concern (LC)
804,Red-Tailed Monkey,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Cercopithecidae,Cercopithecus,Cercopithecus ascanius,Unknown,28 yrs,,3-4 kg,,38-46 cm,,,,"['Forest', 'Rainforest']",['Tropical'],Not a migrant,,,Polygyny,November-February; year-round,6 months,1 infant,,female,male,infant,,Decreasing,Least concern (LC)
805,Humboldt's hog-nosed skunk,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mephitidae,Conepatus,Conepatus humboldtii,,,,1100-4500 g,,50-60 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Chaparral', 'Forest', 'Mountains', 'Grassland', 'Shrubland', 'Rocky areas ', 'Savanna']",[],Not a migrant,,,,,9 weeks,3 to 7,,,,,,Stable,Least concern (LC)
806,Agile gibbon,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Hylobatidae,Hylobates,Hylobates agilis,,,,4-6 kg,,,,,,"['Forest', 'Rainforest']",['Tropical'],Not a migrant,,,Monogamy,,7 months,1,,,,,,Decreasing,Endangered (EN)
807,Javan ferret-badger,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,Melogale,Melogale orientalis,,,,1-2 kg,,35-40 cm,,,,"['Forest', 'Mountains', 'Anthropogenic biome', 'Shrubland']",['Tropical'],Not a migrant,,,,,,,,,,,,Unknown,Least concern (LC)
808,Straw-Coloured Fruit Bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Pteropodidae,Eidolon,Eidolon helvum,Unknown,15-22 yrs,,230-340 g,,14-23 cm,,,,"['Anthropogenic biome', 'Agricultural', 'Forest', 'Rainforest', 'Grassland', 'Suburban', 'Urban wildlife', 'Savanna', 'Montane forest', 'Riparian']","['Tropical', 'Temperate']",Migrating,,,,April-June,4 months,1 pup,4 months,female,male,pup,,Decreasing,Near Threatened (NT)
809,Clymene dolphin,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Delphinidae,Stenella,Stenella clymene,,,,85 kg,,,,,Atlantic Ocean,"['Coastal', 'Neritic zone', 'Oceanic pelagic zone', 'Marine']",[],,,,,,,,,,,,,Unknown,Least concern (LC)
810,Large-eared pika,Animalia,Chordata,Vertebrata,Mammalia,Lagomorpha,,Ochotonidae,Ochotona,Ochotona macrotis,,,,0.12 kg,,150-250 mm,,,,"['Mountains', 'Rocky areas ']",['Temperate'],Not a migrant,,,"Polygyny,",,30 days,1 to 7,50 days,,,,,Unknown,Least concern (LC)
811,Malayan Porcupine,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Hystricidae,Hystrix,Hystrix brachyura,Unknown,27 yrs,,0.7-2.4 kg,,63-72.5 cm,,,,"['Anthropogenic biome', 'Forest', 'Grassland', 'Shrubland']",['Tropical'],Not a migrant,,,,,,2-3 pups,,sow,boar,"pup, porcupette",,Decreasing,Least concern (LC)
812,Uinta Ground Squirrel,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Urocitellus,Urocitellus armatus,Unknown,7 yrs,,284-425 g,,28-30 cm,,,,"['Grassland', 'Anthropogenic biome', 'Shrubland']",['Temperate'],"Not a migrant, Hibernating",,,Polygyny,starts in March or April,23-26 days,5 pups,22 days,doe,buck,"pup, kit, kitten",,,
813,Blue-Eyed Black Lemur,Animalia,Chordata,Vertebrata,Mammalia,Primates,Strepsirrhini,Lemuridae,Eulemur,Eulemur flavifrons,"1,000",20-25 yrs,20 km/h,1.6-2 kg,,39-45 cm,,,,['Forest'],['Tropical'],,,,Polygyny,"April-June in Madagascar, November-December in northern hemisphere",120-129 days,1-2 infants,5-6 months,,,infant,,Decreasing,Critically endangered (CR)
814,Spotted linsang,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,,Prionodontidae,Prionodon,Prionodon pardicolor,,,,595 g,,38-41 cm,,,,"['Forest', 'Rainforest', 'Anthropogenic biome', 'Grassland', 'Shrubland']",['Tropical'],,,,,,,,,,,,,Decreasing,Least concern (LC)
815,Bohor Reedbuck,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Redunca,Redunca redunca,"101,000",10 yrs,,35-65 kg,69-89 cm,100-135 cm,,,,"['Forest', 'Grassland', 'Shrubland', 'Savanna']",['Tropical'],,,,,Year-round; peak in the rainy season,7.5 months,1 calf,,doe,buck,calf,,Decreasing,Least concern (LC)
816,Tailless Tenrec,Animalia,Chordata,Vertebrata,Mammalia,Afrosoricida,,Tenrecidae,Tenrec,Tenrec ecaudatus,Unknown,5-6 yrs,,1.5-2.5 kg,,26-39 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Rainforest', 'Riparian', 'Grassland', 'Shrubland', 'Savanna']",['Tropical'],"Not a migrant,  Hibernating, Aestivation",,,Polygynandry,October-November,50-60 days,15-20 young,,sow,boar,"hoglet, piglet",,Stable,Least concern (LC)
817,Eastern Long-Beaked Echidna,Animalia,Chordata,Vertebrata,Mammalia,Monotremata,,Tachyglossidae,Zaglossus,Zaglossus bartoni,"10,000",30 yrs,,5-10 kg,,60-100 cm,,,,"['Forest', 'Mountains', 'Rainforest', 'Grassland', 'Shrubland']",['Tropical'],Not a migrant,,,,April-May,,1 egg,,,,puggle,,Decreasing,Vulnerable (VU)
818,Pied tamarin,Animalia,Chordata,Vertebrata,Mammalia,Primates,,Callitrichidae,Saguinus,Saguinus bicolor,,,,430 g,,208-283 mm,,,,"['Forest', 'Rainforest', 'Swamp', 'Wetlands ']",['Tropical'],,,,Polyandry,,140 to 150 days,1 to 2,,,,,,Decreasing,Critically endangered (CR)
819,Japanese giant flying squirrel,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Petaurista,Petaurista leucogenys,,,,"1,000-1,300 g",,305-585 mm,,,,"['Forest', 'Anthropogenic biome', 'Urban wildlife']","['Temperate', 'Tropical']",Not a migrant,,,Monogamy,,74 to 74 days,1 to 2,12 to 18 months,,,,,Unknown,Least concern (LC)
820,Common noctule,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Vespertilionidae,Nyctalus,Nyctalus noctula,,,,16-49 g,,,,,,"['Forest', 'Rainforest', 'Grassland', 'Shrubland', 'Anthropogenic biome', 'Caves', 'Wetlands ']",[],"Migrating,",,,,,70 to 73 days,1 to 3,,,,,,Unknown,Least concern (LC)
821,Allen's Swamp Monkey,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Cercopithecidae,Allenopithecus,Allenopithecus nigroviridis,Unknown,23 yrs,,3.5-6 kg,,45-60 cm,,,,"['Forest', 'Rainforest']",['Tropical'],Not a migrant,,,,,,1 infant,,female,male,infant,,Decreasing,Least concern (LC)
822,Pallid bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Vespertilionidae,Antrozous,Antrozous pallidus,,,,17-28 g,,60-85 mm,,,,"['Agricultural', 'Anthropogenic biome', 'Caves', 'Forest', 'Grassland', 'Shrubland', 'Suburban', 'Urban wildlife', 'Rocky areas ']",['Temperate'],"Hibernating, Not a migrant",,,"Polygynandry,",,53 to 71 days,1 to 3,1 years,,,,,Stable,Least concern (LC)
823,Southern Viscacha,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Chinchillidae,Lagidium,Lagidium viscacia,Unknown,19 yrs,,3 kg,,396 mm,,,,"['Mountains', 'Rocky areas ']",['Tropical'],Not a migrant,,,,end of the year,130 days,1 pup,8 weeks,,,pup,,Stable,Least concern (LC)
824,Maned rat,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Cricetidae,Lophiomys,Lophiomys imhausi,,,,590-920 g,,,,,,"['Forest', 'Shrubland', 'Savanna']",[],,,,,,,,,,,,,Stable,Least concern (LC)
825,Burmese ferret-badger,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,Melogale,Melogale personata,,,,1-3 kg,,330-430 mm,,,,"['Forest', 'Anthropogenic biome', 'Grassland', 'Shrubland']",[],Not a migrant,,,,,,,,,,,,Unknown,Least concern (LC)
826,Günther's dik-dik,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Madoqua,Madoqua guentheri,,,,3-5 kg,,,,,,"['Forest', 'Grassland', 'Shrubland']",[],,,,5.67 to 6 months,,1,,,,,,,Stable,Least concern (LC)
827,Buettikofer's Epauletted Fruit Bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Pteropodidae,Epomops,Epomops buettikoferi,Unknown,,,85-198 g,,12-25 cm,,,,"['Shrubland', 'Anthropogenic biome', 'Forest', 'Savanna']",['Tropical'],Not a migrant,,,,,,,,female,male,pup,,Decreasing,Least concern (LC)
828,Chinese Ferret-Badger,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,Melogale,Melogale moschata,Unknown,10-17 yrs,,1-3 kg,,33-43 cm,,,,"['Shrubland', 'Anthropogenic biome', 'Forest', 'Rainforest', 'Grassland']","['Temperate', 'Tropical']",Not a migrant,,,,March-June,,3 kits,,sow,boar,kit,,Stable,Least concern (LC)
